Model,Mean_Power_uW,Median_Power_uW,Std_Dev_uW,Min_Power_uW,Max_Power_uW,Absolute_Improvement_uW,Percentage_Improvement
Pre-Mapping,253682227.30686018,234667413.95398355,211030159.26445606,14529660.63187629,517554648.4847693,0.0,0.0
RF,342936439.30786955,258867667.3619218,210645785.01241487,138341550.5356717,723168605.6245826,89254212.00100937,35.18347065482254
SVM,335388660.97745425,258867667.3619218,207455141.0877275,138341550.5356717,729074883.0266069,81706433.67059407,32.208182078029445
kNN,342765222.4751961,258867667.3619218,212414769.18496612,138341550.5356717,729074883.0266069,89082995.16833594,35.11597801472272
XGBoost,337697200.6912241,258867667.3619218,207224547.99457264,138341550.5356717,723168605.6245826,84014973.38436392,33.11819447356766
