snr_db,train_samples,test_samples,train_accuracy,test_accuracy,precision_0Hz,recall_0Hz,f1_0Hz,support_0Hz,precision_1Hz,recall_1Hz,f1_1Hz,support_1Hz,precision_2Hz,recall_2Hz,f1_2Hz,support_2Hz
-10,2716,776,0.8457290132547864,0.8234536082474226,0.0,0.0,0.0,114,0.16666666666666666,0.06666666666666667,0.09523809523809523,15,0.8350785340314136,0.9860896445131375,0.9043231750531537,647
-5,2716,776,0.8368924889543446,0.7860824742268041,0.16666666666666666,0.016,0.029197080291970802,125,0.5,0.06060606060606061,0.10810810810810811,33,0.7973684210526316,0.9805825242718447,0.8795355587808418,618
0,2716,776,0.8405743740795287,0.7899484536082474,0.3333333333333333,0.05511811023622047,0.0945945945945946,127,0.0,0.0,0.0,29,0.8026490066225166,0.9774193548387097,0.8814545454545455,620
5,2716,776,0.8460972017673049,0.7976804123711341,0.2222222222222222,0.016,0.029850746268656716,125,1.0,0.034482758620689655,0.06666666666666667,29,0.804177545691906,0.9903536977491961,0.8876080691642652,622
10,2716,776,0.8133284241531664,0.8028350515463918,0.3333333333333333,0.08695652173913043,0.13793103448275862,115,0.42857142857142855,0.10714285714285714,0.17142857142857143,28,0.8254397834912043,0.9636650868878357,0.8892128279883382,633
