snr_db,train_samples,test_samples,train_accuracy,test_accuracy,precision_0Hz,recall_0Hz,f1_0Hz,support_0Hz,precision_1Hz,recall_1Hz,f1_1Hz,support_1Hz,precision_2Hz,recall_2Hz,f1_2Hz,support_2Hz
-10,2716,776,1.0,0.7396907216494846,0.21666666666666667,0.0962962962962963,0.13333333333333333,135,0.5,0.058823529411764705,0.10526315789473684,34,0.7851123595505618,0.9209225700164745,0.8476118271417741,607
-5,2716,776,1.0,0.779639175257732,0.10638297872340426,0.05,0.06802721088435375,100,0.3333333333333333,0.058823529411764705,0.1,34,0.8271092669432918,0.9314641744548287,0.8761904761904762,642
0,2716,776,1.0,0.7899484536082474,0.125,0.06,0.08108108108108109,100,0.0,0.0,0.0,23,0.8395573997233748,0.9295558958652373,0.8822674418604651,653
5,2716,776,1.0,0.7551546391752577,0.20408163265306123,0.08130081300813008,0.11627906976744186,123,0.2222222222222222,0.05128205128205128,0.08333333333333333,39,0.7994428969359332,0.9348534201954397,0.8618618618618619,614
10,2716,776,1.0,0.7319587628865979,0.24691358024691357,0.14285714285714285,0.18099547511312217,140,0.3333333333333333,0.1111111111111111,0.16666666666666666,27,0.7944606413994169,0.8949096880131363,0.8416988416988417,609
