model,snr_db,train_samples,test_samples,train_acc,test_acc,precision,recall,f1
RF,-10,2716,776,0.9966863033873343,0.7770618556701031,0.6758064791424866,0.7770618556701031,0.7023199221324348
RF,-5,2716,776,0.9948453608247423,0.7693298969072165,0.6770527645489745,0.7693298969072165,0.6988279721251178
RF,0,2716,776,0.9970544918998527,0.7757731958762887,0.6798896967583122,0.7757731958762887,0.7137261380893885
RF,5,2716,776,0.9959499263622975,0.7822164948453608,0.6683402265596349,0.7822164948453608,0.7049765843186198
RF,10,2716,776,0.9941089837997055,0.7667525773195877,0.6654109161955436,0.7667525773195877,0.6978253971028602
