model,snr_db,train_samples,test_samples,train_acc,test_acc,precision,recall,f1
SVM,-10,2716,776,0.5887334315169367,0.5438144329896907,0.706834244414557,0.5438144329896907,0.6060854360673992
SVM,-5,2716,776,0.5346097201767305,0.49226804123711343,0.689674205180543,0.49226804123711343,0.553549536677793
SVM,0,2716,776,0.4959499263622975,0.4329896907216495,0.6764664455721455,0.4329896907216495,0.5055164734857699
SVM,5,2716,776,0.46723122238586157,0.42396907216494845,0.6828010673378857,0.42396907216494845,0.4877254856923608
SVM,10,2716,776,0.5456553755522827,0.509020618556701,0.7033887669219165,0.509020618556701,0.570488424039459
